collection_date,track_position,track_name,track_id,artist_name,artist_id,artist_followers,label_name,label_type,track_date,track_genres,track_features,artist_video,artist_video_date
2024-09-01T00:00:00+02:00,440,Bachata rosa,11e82615-b610-97c2-9529-a0369fe50396,"['Juan Luis Guerra', 'Natalie Cole']","['11e81bbc-f7bf-38b2-966b-a0369fe50396', '11e81bc0-4fbf-fb20-8b8a-a0369fe50396']","[None, None]","['Universal', 'The Verve Music Group']","['Universal', 'unknown']",2013-01-01T00:00:00+00:00,"['latin', 'pop']","{'acousticness': 0.8, 'danceability': 0.67, 'energy': 0.42, 'instrumentalness': 0, 'key': 9, 'liveness': 0.13, 'loudness': -8.52, 'mode': 1, 'speechiness': 0.03, 'tempo': 111.91, 'timeSignature': 4, 'valence': 0.47}",False,
2024-09-01T00:00:00+02:00,442,Bandhi Naire Ghor,731ca385-14ef-4c39-ba12-0e17b2f92292,['Shafiq Mahmud'],['974236fc-43b9-4eb2-a38e-b7c91e3ccd9d'],[None],[],[],,[],,False,
2024-09-01T00:00:00+02:00,443,Forget Me - Cover,129d7999-0867-4c85-8970-1a5512af1c50,['Celina Sharma'],['3dc1cf66-e0e5-11e9-9f3f-801844ee83a6'],[2300000],['Celina Sharma'],['Self released'],2023-03-01T00:00:00+00:00,['pop'],"{'acousticness': 0.92, 'danceability': 0.43, 'energy': 0.1, 'instrumentalness': 0, 'key': 5, 'liveness': 0.09, 'loudness': -13.68, 'mode': 1, 'speechiness': 0.07, 'tempo': 192.9, 'timeSignature': 4, 'valence': 0.47}",True,2023-03-01
2024-09-01T00:00:00+02:00,444,Females Lingo,ce636434-1ffc-48f0-b70a-36ffc7a34edc,['Bsav GP'],['5fdcd7a0-850b-4480-9a09-b27b14041c8f'],[20900],['Bsav GP'],['Self released'],2024-04-29T00:00:00+00:00,['hip-hop & rap'],"{'acousticness': 0.16, 'danceability': 0.64, 'energy': 0.51, 'instrumentalness': 0, 'key': 8, 'liveness': 0.28, 'loudness': -14.39, 'mode': 1, 'speechiness': 0.19, 'tempo': 142.95, 'timeSignature': 4, 'valence': 0.66}",True,2024-05-01
2024-09-01T00:00:00+02:00,445,taki mały ja (Preview),374a56f4-54c4-40a2-b7a2-b0f169e21f10,[],[],[],[],[],,[],,True,2024-08-27
2024-09-01T00:00:00+02:00,446,Shekini,11e826ab-9b9c-0070-ba12-a0369fe50396,['P-Square'],['11e81bcd-4ae0-f2a0-8ba7-a0369fe50396'],[None],['Square'],['Self released'],2014-08-28T00:00:00+00:00,"['alternative', 'others']","{'acousticness': 0.03, 'danceability': 0.81, 'energy': 0.88, 'instrumentalness': 0.03, 'key': 2, 'liveness': 0.03, 'loudness': -4.28, 'mode': 1, 'speechiness': 0.08, 'tempo': 94.32, 'timeSignature': 3, 'valence': 0.98}",False,
2024-09-01T00:00:00+02:00,447,On My Way,193ccc70-67e3-4d2e-a0d1-cca7a4604554,['Adrian Portus'],['96afd88d-34c3-4963-8b8e-109308b0c538'],[None],['Vrtrenta'],['unknown'],2022-08-29T00:00:00+00:00,['electronic'],"{'acousticness': 0.01, 'danceability': 0.79, 'energy': 0.62, 'instrumentalness': 0.43, 'key': 5, 'liveness': 0.19, 'loudness': -11.1, 'mode': 0, 'speechiness': 0.05, 'tempo': 120.04, 'timeSignature': 4, 'valence': 0.47}",False,
2024-09-01T00:00:00+02:00,448,Motorcycle,7598bce5-f84e-4f98-ada2-84177cc31906,['Major Cash'],['44d5a874-9e6e-4f59-ba80-031d5ac12973'],[None],[],[],2020-05-11T00:00:00+00:00,[],,False,
2024-09-01T00:00:00+02:00,449,Fake Jammin,17112679-4775-4c4b-bb3d-bd08a6932b8d,['Sexyy Red'],['ec6936b6-c5a8-11e8-ad35-549f35141000'],[2500000],"['Rebel', 'gamma']","['Other independent labels: ""Indie""', 'Self released']",2024-05-24T00:00:00+00:00,['hip-hop & rap'],"{'acousticness': 0.03, 'danceability': 0.83, 'energy': 0.62, 'instrumentalness': 0, 'key': 5, 'liveness': 0.11, 'loudness': -8.35, 'mode': 0, 'speechiness': 0.65, 'tempo': 165.07, 'timeSignature': 4, 'valence': 0.35}",True,2024-06-10
2024-09-01T00:00:00+02:00,450,Boons,868dd271-4238-49fa-969e-652429d950bb,['Zach Bryan'],['2006fdf0-c896-11e9-8c83-801844edfa71'],[None],"['Warner', 'Belting Bronco']","['Warner', 'Self released']",2024-07-04T00:00:00+00:00,['country'],"{'acousticness': 0.73, 'danceability': 0.5, 'energy': 0.33, 'instrumentalness': 0, 'key': 0, 'liveness': 0.14, 'loudness': -10.17, 'mode': 1, 'speechiness': 0.03, 'tempo': 83.21, 'timeSignature': 4, 'valence': 0.23}",False,
2024-09-01T00:00:00+02:00,451,Последний день лета,849fca6e-ce0c-11e9-ad1b-549f35141000,['Lalis Dream'],['6fac6a34-cdcd-11e9-8113-549f35141000'],[None],['BRATICA'],['unknown'],2019-08-30T00:00:00+00:00,"['alternative', 'hip-hop & rap', 'pop']","{'acousticness': 0.6, 'danceability': 0.88, 'energy': 0.56, 'instrumentalness': 0, 'key': 1, 'liveness': 0.1, 'loudness': -6.52, 'mode': 1, 'speechiness': 0.04, 'tempo': 127, 'timeSignature': 4, 'valence': 0.43}",False,
2024-09-01T00:00:00+02:00,452,Ты залип ,feef1096-2829-11ea-9d2a-549f35141000,"['PAPAKLEY', 'Dj Shiza']","['fef140dc-2829-11ea-9221-549f35141000', 'fef385a4-2829-11ea-947a-549f35141000']","[None, None]",['A+'],['Self released'],2019-03-03T00:00:00+00:00,['electronic'],"{'acousticness': 0.06, 'danceability': 0.91, 'energy': 0.65, 'instrumentalness': 0.28, 'key': 9, 'liveness': 0.09, 'loudness': -7.55, 'mode': 0, 'speechiness': 0.09, 'tempo': 120.01, 'timeSignature': 4, 'valence': 0.76}",False,
2024-09-01T00:00:00+02:00,453,Idea 10,bedab8cb-9fb2-43eb-9854-c1d9ae83e8e0,['Clavier'],['24857522-e594-4576-803e-aea19bc981ec'],[None],['Clavier'],['Self released'],2023-09-29T00:00:00+00:00,['alternative'],"{'acousticness': 0.94, 'danceability': 0.3, 'energy': 0.39, 'instrumentalness': 0.94, 'key': 7, 'liveness': 0.12, 'loudness': -17.54, 'mode': 0, 'speechiness': 0.03, 'tempo': 85.32, 'timeSignature': 4, 'valence': 0.61}",False,
2024-09-01T00:00:00+02:00,456,No Me Importa,7b5a17d2-7b85-4ed5-a858-24f378a230c1,"['Dj Adoni', 'Jey One']","['64abc5a0-bc5f-4a06-9952-673fc577f23a', '3544b521-acb5-425a-979f-677d7aa6e851']","[2500000, 1200000]","['829Music Mundial', 'DJ Adoni Music']","['Self released', 'unknown']",2024-07-24T00:00:00+00:00,['latin'],"{'acousticness': 0.05, 'danceability': 0.85, 'energy': 0.52, 'instrumentalness': 0, 'key': 6, 'liveness': 0.49, 'loudness': -4.86, 'mode': 1, 'speechiness': 0.44, 'tempo': 137.51, 'timeSignature': 3, 'valence': 0.72}",True,2024-07-26
2024-09-01T00:00:00+02:00,457,For Kids,21a46f66-f95b-4fb9-a090-af1702953ad2,['V_Production'],['45603d82-61f2-4067-99d8-1259f0084eba'],[None],['V_Production'],['Self released'],2020-10-24T00:00:00+00:00,"[""children's music""]","{'acousticness': 0.1, 'danceability': 0.7, 'energy': 0.9, 'instrumentalness': 0.9, 'key': 5, 'liveness': 0.15, 'loudness': -7.16, 'mode': 1, 'speechiness': 0.04, 'tempo': 95.99, 'timeSignature': 4, 'valence': 0.91}",False,
2024-09-01T00:00:00+02:00,458,Hai Yorokonde,f483e302-ba2e-4786-b0e1-0264223372f9,['こっちのけんと'],['ba2956ae-458f-4749-986b-1f03e2437772'],[223400],['blowout'],['unknown'],2024-05-27T00:00:00+00:00,"['asian', 'pop', 'r&b, funk & soul']","{'acousticness': 0.08, 'danceability': 0.78, 'energy': 0.68, 'instrumentalness': 0, 'key': 11, 'liveness': 0.32, 'loudness': -11.63, 'mode': 0, 'speechiness': 0.07, 'tempo': 147.05, 'timeSignature': 4, 'valence': 0.83}",True,2024-05-31
2024-09-01T00:00:00+02:00,459,Damn,1e23be4e-7232-4f8d-b342-e771ed94c2a9,['Omah lay'],['28810016-6284-11e9-bd7c-549f35141000'],[2500000],"['Sire', 'The KeyQaad']","['Warner', 'unknown']",2020-05-22T00:00:00+00:00,"['pop', 'r&b, funk & soul']","{'acousticness': 0.58, 'danceability': 0.72, 'energy': 0.42, 'instrumentalness': 0, 'key': 8, 'liveness': 0.09, 'loudness': -6.16, 'mode': 0, 'speechiness': 0.3, 'tempo': 144.29, 'timeSignature': 5, 'valence': 0.42}",False,
